,No,Original_Name,Japanese_Name,Generation,Generation_Str,Height_m,Weight_kg,BMI,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution_Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Marowak(Alolan),105.0,Marowak,,7.0,VII,1.0,34.0,,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,Purple,50.0,50.0,0.0,20.0,Monster,,75.0,149.0,1000000.0,Ordinary,,Alolan,60.0,80.0,110.0,50.0,80.0,45.0,425.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marowak,105.0,Marowak,Garagara,1.0,I,1.0,45.0,45.0,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,50.0,50.0,0.0,20.0,Monster,,75.0,149.0,1000000.0,Ordinary,,,60.0,80.0,110.0,50.0,80.0,45.0,425.0,70.83333333333333,0.0,0.0,2.0,0.0,0.0,0.0,2 Defense,50.0,Medium Fast,20.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Bone Keeper,2 stages evolution,Cubone,Level,Marowak,,,,,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon."
Hitmonlee,106.0,Hitmonlee,Sawamular,1.0,I,1.5,49.8,22.1,Fighting,,Limber,Reckless,Unburden,Brown,100.0,0.0,0.0,25.0,Human-Like,,45.0,159.0,1000000.0,Ordinary,,,50.0,120.0,53.0,35.0,110.0,87.0,455.0,75.83333333333333,0.0,2.0,0.0,0.0,0.0,0.0,2 Attack,50.0,Medium Fast,25.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,Kicking,2 stages evolution with 3 forms,Tyrogue,Attack > Defence at Level 20,Hitmonlee,,,,,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.
Hitmonchan,107.0,Hitmonchan,Ebiwalar,1.0,I,1.4,50.2,25.6,Fighting,,Keen Eye,Iron Fist,Inner Focus,Brown,100.0,0.0,0.0,25.0,Human-Like,,45.0,159.0,1000000.0,Ordinary,,,50.0,105.0,79.0,35.0,110.0,76.0,455.0,75.83333333333333,0.0,0.0,0.0,0.0,2.0,0.0,2 Special Defense,50.0,Medium Fast,25.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,Punching,2 stages evolution with 3 forms,Tyrogue,Attack < Defence at Level 20,Hitmonchan,,,,,"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn."
Lickitung,108.0,Lickitung,Beroringa,1.0,I,1.2,65.5,45.5,Normal,,Own Tempo,Oblivious,Cloud Nine,Pink,50.0,50.0,0.0,20.0,Monster,,45.0,77.0,1000000.0,Ordinary,,,90.0,55.0,75.0,60.0,75.0,30.0,385.0,64.16666666666667,2.0,0.0,0.0,0.0,0.0,0.0,2 HP,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Licking,2 stages evolution,Lickitung,Level up while knowing  Rollout,Lickilicky,,,,,"If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either."
Koffing,109.0,Koffing,Dogars,1.0,I,0.6,1.0,2.8,Poison,,Levitate,Neutralizing Gas,Stench,Purple,50.0,50.0,0.0,20.0,Amorphous,,190.0,68.0,1000000.0,Ordinary,,,40.0,65.0,95.0,60.0,45.0,35.0,340.0,56.66666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1 Defense,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,Poison Gas,2 stages evolution,Koffing,Level,Weezing,,,,,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash."
Weezing,110.0,Weezing,Matadogas,1.0,I,1.2,9.5,6.6,Poison,,Levitate,Neutralizing Gas,Stench,Purple,50.0,50.0,0.0,20.0,Amorphous,,60.0,172.0,1000000.0,Ordinary,,,65.0,90.0,120.0,85.0,70.0,60.0,490.0,81.66666666666667,0.0,0.0,2.0,0.0,0.0,0.0,2 Defense,50.0,Medium Fast,20.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,Poison Gas,2 stages evolution,Koffing,Level,Weezing,,,,,It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.
Weezing(Galarian),110.0,Weezing,,8.0,VIII,3.0,16.0,,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,Gray,50.0,50.0,0.0,20.0,Amorphous,,60.0,172.0,1000000.0,Ordinary,,Galarian,65.0,90.0,120.0,85.0,70.0,60.0,490.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyhorn,111.0,Rhyhorn,Sihorn,1.0,I,1.0,115.0,115.0,Ground,Rock,Lightning Rod,Rock Head,Reckless,Gray,50.0,50.0,0.0,20.0,Monster,Ground,120.0,69.0,1250000.0,Ordinary,,,80.0,85.0,95.0,30.0,30.0,25.0,345.0,57.5,0.0,0.0,1.0,0.0,0.0,0.0,1 Defense,50.0,Slow,20.0,Slow,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,Spikes,3 stages evolution,Rhyhorn,Level ,Rhydon,Trade with  Protector,Rhyperior,,,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles."
Rhydon,112.0,Rhydon,Sidon,1.0,I,1.9,120.0,33.2,Ground,Rock,Lightning Rod,Rock Head,Reckless,Gray,50.0,50.0,0.0,20.0,Monster,Ground,60.0,170.0,1250000.0,Ordinary,,,105.0,130.0,120.0,45.0,45.0,40.0,485.0,80.83333333333333,0.0,2.0,0.0,0.0,0.0,0.0,2 Attack,50.0,Slow,20.0,Slow,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,Drill,3 stages evolution,Rhyhorn,Level ,Rhydon,Trade with  Protector,Rhyperior,,,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.
Chansey,113.0,Chansey,Lucky,1.0,I,1.1,34.6,28.6,Normal,,Natural Cure,Serene Grace,Healer,Pink,0.0,100.0,0.0,40.0,Fairy,,30.0,395.0,800000.0,Ordinary,,,250.0,5.0,5.0,35.0,105.0,50.0,450.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,2 HP,140.0,Fast,40.0,Fast,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Egg,3 stages evolution,Happiny,Level up during day while holding Oval Stone,Chansey,Level Up with Happiness Value at 220,Blissey,,,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.
Tangela,114.0,Tangela,Monjara,1.0,I,1.0,35.0,35.0,Grass,,Chlorophyll,Leaf Guard,Regenerator,Blue,50.0,50.0,0.0,20.0,Grass,,45.0,87.0,1000000.0,Ordinary,,,65.0,55.0,115.0,100.0,40.0,60.0,435.0,72.5,0.0,0.0,1.0,0.0,0.0,0.0,1 Defense,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,Vine,2 stages evolution,Tangela,Level up while knowing  Ancient Power,Tangrowth,,,,,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery."
Kangaskhan(Mega EV),115.0,Kangaskhan,,1.0,I,2.2,100.0,,Normal,,Parental Bond,,,Brown,0.0,100.0,0.0,20.0,Monster,,45.0,207.0,1000000.0,Ordinary,Mega,,105.0,125.0,100.0,60.0,100.0,100.0,590.0,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangaskhan,115.0,Kangaskhan,Garura,1.0,I,2.2,80.0,16.5,Normal,,Early Bird,Scrappy,Inner Focus,Brown,0.0,100.0,0.0,20.0,Monster,,45.0,172.0,1000000.0,Ordinary,,,105.0,95.0,80.0,40.0,80.0,90.0,490.0,81.66666666666667,2.0,0.0,0.0,0.0,0.0,0.0,2 HP,50.0,Medium Fast,20.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Kangaskhan,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Parent,No evolution,Kangaskhan,,,,,,,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs."
Horsea,116.0,Horsea,Tattu,1.0,I,0.4,8.0,50.0,Water,,Swift Swim,Sniper,Damp,Blue,50.0,50.0,0.0,20.0,Water1,Dragon,225.0,59.0,1000000.0,Ordinary,,,30.0,40.0,70.0,70.0,25.0,60.0,295.0,49.16666666666666,0.0,0.0,0.0,1.0,0.0,0.0,1 Special Attack,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Dragon,3 stages evolution,Horsea,Level ,Seadra,Trade with  Dragon Scale,Kingdra,,,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes."
Seadra,117.0,Seadra,Seadra,1.0,I,1.2,25.0,17.4,Water,,Poison Point,Sniper,Damp,Blue,50.0,50.0,0.0,20.0,Water1,Dragon,75.0,154.0,1000000.0,Ordinary,,,55.0,65.0,95.0,95.0,45.0,85.0,440.0,73.33333333333333,0.0,0.0,1.0,1.0,0.0,0.0,"1 Defense, 1 Special Attack",50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Dragon,3 stages evolution,Horsea,Level ,Seadra,Trade with  Dragon Scale,Kingdra,,,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison."
Goldeen,118.0,Goldeen,Tosakinto,1.0,I,0.6,15.0,41.7,Water,,Swift Swim,Water Veil,Lightning Rod,Red,50.0,50.0,0.0,20.0,Water2,,225.0,64.0,1000000.0,Ordinary,,,45.0,67.0,60.0,35.0,50.0,63.0,320.0,53.333333333333336,0.0,1.0,0.0,0.0,0.0,0.0,1 Attack,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Goldfish,2 stages evolution,Goldeen,Level ,Seaking,,,,,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer."
Seaking,119.0,Seaking,Azumao,1.0,I,1.3,39.0,23.1,Water,,Swift Swim,Water Veil,Lightning Rod,Red,50.0,50.0,0.0,20.0,Water2,,60.0,158.0,1000000.0,Ordinary,,,80.0,92.0,65.0,65.0,80.0,68.0,450.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,2 Attack,50.0,Medium Fast,20.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Goldfish,2 stages evolution,Goldeen,Level ,Seaking,,,,,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors."
Staryu,120.0,Staryu,Hitodeman,1.0,I,0.8,34.5,53.9,Water,,Illuminate,Natural Cure,Analytic,Brown,0.0,0.0,100.0,20.0,Water3,,225.0,68.0,1250000.0,Ordinary,,,30.0,45.0,55.0,70.0,55.0,85.0,340.0,56.66666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1 Speed,50.0,Slow,20.0,Slow,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Star Shape,2 stages evolution,Staryu,Use Water Stone,Starmie,,,,,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm."
Starmie,121.0,Starmie,Starmie,1.0,I,1.1,80.0,66.1,Water,Psychic,Illuminate,Natural Cure,Analytic,Purple,0.0,0.0,100.0,20.0,Water3,,60.0,182.0,1250000.0,Ordinary,,,60.0,75.0,85.0,100.0,85.0,115.0,520.0,86.66666666666667,0.0,0.0,0.0,0.0,0.0,2.0,2 Speed,50.0,Slow,20.0,Slow,1250000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,Mysterious,2 stages evolution,Staryu,Use Water Stone,Starmie,,,,,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.
Mr. Mime(Galarian),122.0,Mr. Mime,,8.0,VIII,1.4,56.8,,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,White,50.0,50.0,0.0,25.0,Human-Like,,45.0,161.0,1000000.0,Ordinary,,Galarian,50.0,65.0,65.0,90.0,90.0,100.0,460.0,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Mime,122.0,Mr. Mime,Barrierd,1.0,I,1.3,54.5,32.2,Psychic,Fairy,Soundproof,Filter,Technician,Pink,50.0,50.0,0.0,25.0,Human-Like,,45.0,161.0,1000000.0,Ordinary,,,40.0,45.0,65.0,100.0,120.0,90.0,460.0,76.66666666666667,0.0,0.0,0.0,0.0,2.0,0.0,2 Special Defense,50.0,Medium Fast,25.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,Barrier,2 stages evolution,Mimejr.,Level up while knowing  Mimic,Mr.mime,,,,,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.
Scyther,123.0,Scyther,Strike,1.0,I,1.5,56.0,24.9,Bug,Flying,Swarm,Technician,Steadfast,Green,50.0,50.0,0.0,25.0,Bug,,45.0,100.0,1000000.0,Ordinary,,,70.0,110.0,80.0,55.0,80.0,105.0,500.0,83.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1 Attack,50.0,Medium Fast,25.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,Mantis,2 stages evolution,Scyther,Trade with  Metal Coat,Scizor,,,,,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree."
Jynx,124.0,Jynx,Rougela,1.0,I,1.4,40.6,20.7,Ice,Psychic,Oblivious,Forewarn,Dry Skin,Red,0.0,100.0,0.0,25.0,Human-Like,,45.0,159.0,1000000.0,Ordinary,,,65.0,50.0,35.0,115.0,95.0,95.0,455.0,75.83333333333333,0.0,0.0,0.0,2.0,0.0,0.0,2 Special Attack,50.0,Medium Fast,25.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,Human Shape,2 stages evolution,Smoochum,Level ,Jynx,,,,,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice."
Electabuzz,125.0,Electabuzz,Eleboo,1.0,I,1.1,30.0,24.8,Electric,,Static,,Vital Spirit,Yellow,75.0,25.0,0.0,25.0,Human-Like,,45.0,172.0,1000000.0,Ordinary,,,65.0,83.0,57.0,95.0,85.0,105.0,490.0,81.66666666666667,0.0,0.0,0.0,0.0,0.0,2.0,2 Speed,50.0,Medium Fast,25.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Electric,3 stages evolution,Elekid,Level ,Electabuzz,Trade with  Electirizer,Electivire,,,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.
Magmar,126.0,Magmar,Boober,1.0,I,1.3,44.5,26.3,Fire,,Flame Body,,Vital Spirit,Red,75.0,25.0,0.0,25.0,Human-Like,,45.0,173.0,1000000.0,Ordinary,,,65.0,95.0,57.0,100.0,85.0,93.0,495.0,82.5,0.0,0.0,0.0,2.0,0.0,0.0,2 Special Attack,50.0,Medium Fast,25.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,Spitfire,3 stages evolution,Magby,Level ,Magmar,Trade with  Magmarizer,Magmortar,,,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.
Pinsir,127.0,Pinsir,Kailios,1.0,I,1.5,55.0,24.4,Bug,,Hyper Cutter,Mold Breaker,Moxie,Brown,50.0,50.0,0.0,25.0,Bug,,45.0,175.0,1250000.0,Ordinary,,,65.0,125.0,100.0,55.0,70.0,85.0,500.0,83.33333333333333,0.0,2.0,0.0,0.0,0.0,0.0,2 Attack,50.0,Slow,25.0,Slow,1250000.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Pinsir,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Stag Beetle,No evolution,Pinsir,,,,,,,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender."
Pinsir(Mega EV),127.0,Pinsir,,1.0,I,1.7,59.0,,Bug,Flying,Aerilate,,,Brown,50.0,50.0,0.0,25.0,Bug,,45.0,210.0,1250000.0,Ordinary,Mega,,65.0,155.0,120.0,65.0,90.0,105.0,600.0,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauros,128.0,Tauros,Kentauros,1.0,I,1.4,88.4,45.1,Normal,,Intimidate,Anger Point,Sheer Force,Brown,100.0,0.0,0.0,20.0,Ground,,45.0,172.0,1250000.0,Ordinary,,,75.0,100.0,95.0,40.0,70.0,110.0,490.0,81.66666666666667,0.0,1.0,0.0,0.0,0.0,1.0,"1 Attack, 1 Speed",50.0,Slow,20.0,Slow,1250000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Wild Bull,No evolution,Tauros,,,,,,,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed."
Magikarp,129.0,Magikarp,Koiking,1.0,I,0.9,10.0,12.3,Water,,Swift Swim,,Rattled,Red,50.0,50.0,0.0,5.0,Water2,Dragon,255.0,40.0,1250000.0,Ordinary,,,20.0,10.0,55.0,15.0,20.0,80.0,200.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,1.0,1 Speed,50.0,Slow,5.0,Slow,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Fish,2 stages evolution,Magikarp,Level ,Gyarados,,,,,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.
Gyarados(Mega EV),130.0,Gyarados,,1.0,I,6.5,305.0,,Water,Dark,Mold Breaker,,,Blue,50.0,50.0,0.0,5.0,Water2,Dragon,45.0,224.0,1250000.0,Ordinary,Mega,,95.0,155.0,109.0,70.0,130.0,81.0,640.0,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyarados,130.0,Gyarados,Gyarados,1.0,I,6.5,235.0,5.6,Water,Flying,Intimidate,,Moxie,Blue,50.0,50.0,0.0,5.0,Water2,Dragon,45.0,189.0,1250000.0,Ordinary,,,95.0,125.0,79.0,60.0,100.0,81.0,540.0,90.0,0.0,2.0,0.0,0.0,0.0,0.0,2 Attack,50.0,Slow,5.0,Slow,1250000.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Gyarados,,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,Atrocious,2 stages evolution,Magikarp,Level ,Gyarados,,,,,It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.
Lapras,131.0,Lapras,Laplace,1.0,I,2.5,220.0,35.2,Water,Ice,Water Absorb,Shell Armor,Hydration,Blue,50.0,50.0,0.0,40.0,Monster,Water1,45.0,187.0,1250000.0,Ordinary,,,130.0,85.0,80.0,85.0,95.0,60.0,535.0,89.16666666666667,2.0,0.0,0.0,0.0,0.0,0.0,2 HP,50.0,Slow,40.0,Slow,1250000.0,1.0,0.0,0.0,0.0,0.0,0.0,Gigantamax Lapras,,,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Transport,No evolution,Lapras,,,,,,,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it."
Ditto,132.0,Ditto,Metamon,1.0,I,0.3,4.0,44.4,Normal,,Limber,,Imposter,Purple,0.0,0.0,100.0,20.0,Ditto,,35.0,101.0,1000000.0,Ordinary,,,48.0,48.0,48.0,48.0,48.0,48.0,288.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,1 HP,50.0,Medium Fast,20.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Transform,No evolution,Ditto,,,,,,,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes."
Eevee,133.0,Eevee,Eievui,1.0,I,0.3,6.5,72.2,Normal,,Run Away,Adaptability,Anticipation,Brown,87.5,12.5,0.0,35.0,Ground,,45.0,65.0,1000000.0,Ordinary,,,55.0,55.0,50.0,45.0,65.0,55.0,325.0,54.16666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1 Special Defense,50.0,Medium Fast,35.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,Gigantamax Eevee,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Evolution,2 stages evolution with 8 forms,Eevee,,,,,,,It has the ability to alter the composition of its body to suit its surrounding environment.
Vaporeon,134.0,Vaporeon,Showers,1.0,I,1.0,29.0,29.0,Water,,Water Absorb,,Hydration,Blue,87.5,12.5,0.0,35.0,Ground,,45.0,184.0,1000000.0,Ordinary,,,130.0,65.0,60.0,110.0,95.0,65.0,525.0,87.5,2.0,0.0,0.0,0.0,0.0,0.0,2 HP,50.0,Medium Fast,35.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Bubble Jet,2 stages evolution with 8 forms,Eevee,,,,,,,"When Vaporeon’s fins begin to vibrate, it is a sign that rain will come within a few hours."
Jolteon,135.0,Jolteon,Thunders,1.0,I,0.8,24.5,38.3,Electric,,Volt Absorb,,Quick Feet,Yellow,87.5,12.5,0.0,35.0,Ground,,45.0,184.0,1000000.0,Ordinary,,,65.0,65.0,60.0,110.0,95.0,130.0,525.0,87.5,0.0,0.0,0.0,0.0,0.0,2.0,2 Speed,50.0,Medium Fast,35.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Lightning,2 stages evolution with 8 forms,Eevee,,,,,,,"If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes."
Flareon,136.0,Flareon,Booster,1.0,I,0.9,25.0,30.9,Fire,,Flash Fire,,Guts,Red,87.5,12.5,0.0,35.0,Ground,,45.0,184.0,1000000.0,Ordinary,,,65.0,130.0,60.0,95.0,110.0,65.0,525.0,87.5,0.0,2.0,0.0,0.0,0.0,0.0,2 Attack,50.0,Medium Fast,35.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,Flame,2 stages evolution with 8 forms,Eevee,,,,,,,"Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit."
