,No,Original_Name,Japanese_Name,Generation,Height_m,Weight_kg,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Mega Evolution,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,BMI,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Murkrow,198,Murkrow,Yamikarasu,2,0.5,2.1,Dark,Flying,Insomnia,Super Luck,Prankster,Black,50,50,0,20,Flying,,30,81,1058960,Ordinary,,,60,85,42,85,42,91,405,67.5,0,0,0,0,0,1,1 Speed,35,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,8.4,Darkness,2 stages evolution,Murkrow,Use Dusk Stone,Honchkrow,,,,,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.
Slowking (Galarian),199,Slowking,,8,1.8,79.5,Poison,Psychic,Curious Medicine,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,70,172,1000000,Ordinary,,Galarian,95,65,80,110,110,30,490,81.7,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowking,199,Slowking,Yadoking,2,2.0,79.5,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,70,172,1000000,Ordinary,,,95,75,80,100,110,30,490,81.7,0,0,0,0,2,0,2 Special Defense,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,19.9,Royal,2 stages evolution with 2 forms,Slowpoke,Level,Slowbro,Trade with  King's Rock,Slowking,,,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain."
Misdreavus,200,Misdreavus,Muma,2,0.7,1.0,Ghost,,Levitate,,,Gray,50,50,0,25,Amorphous,,45,87,800000,Ordinary,,,60,60,60,85,85,85,435,72.5,0,0,0,0,1,0,1 Special Defense,35,Fast,25,Fast,800000,0,0,0,0,0,0,0,,,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,2,Screech,2 stages evolution,Misdreavus,Use Dusk Stone,Mismagius,,,,,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking."
Unown,201,Unown,Unknown,2,0.5,5.0,Psychic,,Levitate,,,Black,0,0,100,40,Undiscovered,,225,118,1000000,Ordinary,,,48,72,48,72,48,48,336,56.0,0,1,0,1,0,0,"1 Attack, 1 Special Attack",50,Medium Fast,40,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,20,Symbol,No evolution,Unown,,,,,,,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known."
Wobbuffet,202,Wobbuffet,Sonans,2,1.3,28.5,Psychic,,Shadow Tag,,Telepathy,Blue,50,50,0,20,Amorphous,,45,142,1000000,Ordinary,,,190,33,58,33,58,33,405,67.5,2,0,0,0,0,0,2 HP,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,16.9,Patient,2 stages evolution,Wynaut,Level ,Wobbuffet,,,,,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
Girafarig,203,Girafarig,Kirinriki,2,1.5,41.5,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,Yellow,50,50,0,20,Ground,,60,159,1000000,Ordinary,,,70,80,65,90,65,85,455,75.8,0,0,0,2,0,0,2 Special Attack,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,18.4,Long Neck,No evolution,Girafarig,,,,,,,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite."
Pineco,204,Pineco,Kunugidama,2,0.6,7.2,Bug,,Sturdy,,Overcoat,Gray,50,50,0,20,Bug,,190,58,1000000,Ordinary,,,50,65,90,35,35,15,290,48.3,0,0,1,0,0,0,1 Defense,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,20,Bagworm,2 stages evolution,Pineco,Level ,Forretress,,,,,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly."
Forretress,205,Forretress,Foretos,2,1.2,125.8,Bug,Steel,Sturdy,,Overcoat,Purple,50,50,0,20,Bug,,75,163,1000000,Ordinary,,,75,90,140,60,60,40,465,77.5,0,0,2,0,0,0,2 Defense,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,87.4,Bagworm,2 stages evolution,Pineco,Level ,Forretress,,,,,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex."
Dunsparce,206,Dunsparce,Nokocchi,2,1.5,14.0,Normal,,Serene Grace,Run Away,Rattled,Yellow,50,50,0,20,Ground,,190,145,1000000,Ordinary,,,100,70,70,65,65,45,415,69.2,1,0,0,0,0,0,1 HP,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,6.2,Land Snake,No evolution,Dunsparce,,,,,,,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.
Gligar,207,Gligar,Gliger,2,1.1,64.8,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,Purple,50,50,0,20,Bug,,60,86,1058960,Ordinary,,,65,75,105,35,65,85,430,71.7,0,0,1,0,0,0,1 Defense,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,53.6,Fly Scorpion,2 stages evolution,Gligar,Level up during the night while holding  Razor Fang,Gliscor,,,,,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
Steelix,208,Steelix,Haganeil,2,9.2,400.0,Steel,Ground,Rock Head,Sturdy,Sheer Force,Gray,50,50,0,25,Mineral,,25,179,1000000,Ordinary,,,75,85,200,55,65,30,510,85.0,0,0,2,0,0,0,2 Defense,50,Medium Fast,25,Medium Fast,1000000,1,0,0,0,0,0,0,,Mega Steelix,,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,4.7,Iron Snake,2 stages evolution,Onix,Trade with  Metal Coat,Steelix,,,,,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
Steelix (Mega EV),208,Steelix,,2,10.5,740.0,Steel,Ground,Sand Force,,,Gray,50,50,0,25,Mineral,,25,214,1000000,Ordinary,Mega,,75,125,230,55,95,30,610,101.7,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snubbull,209,Snubbull,Bulu,2,0.6,7.8,Fairy,,Intimidate,Run Away,Rattled,Pink,25,75,0,20,Ground,Fairy,190,60,800000,Ordinary,,,60,80,50,40,40,30,300,50.0,0,1,0,0,0,0,1 Attack,50,Fast,20,Fast,800000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,21.7,Fairy,2 stages evolution,Snubbull,Level ,Granbull,,,,,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.
Granbull,210,Granbull,Granbulu,2,1.4,48.7,Fairy,,Intimidate,Quick Feet,Rattled,Purple,25,75,0,20,Ground,Fairy,75,158,800000,Ordinary,,,90,120,75,60,60,45,450,75.0,0,2,0,0,0,0,2 Attack,50,Fast,20,Fast,800000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,24.8,Fairy,2 stages evolution,Snubbull,Level ,Granbull,,,,,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might."
Qwilfish,211,Qwilfish,Harysen,2,0.5,3.9,Water,Poison,Poison Point,Swift Swim,Intimidate,Gray,50,50,0,20,Water2,,45,88,1000000,Ordinary,,,65,95,85,55,55,85,440,73.3,0,1,0,0,0,0,1 Attack,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,15.6,Balloon,No evolution,Qwilfish,,,,,,,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size."
Scizor,212,Scizor,Hassam,2,1.8,118.0,Bug,Steel,Swarm,Technician,Light Metal,Red,50,50,0,25,Bug,,25,175,1000000,Ordinary,,,70,130,100,55,80,65,500,83.3,0,2,0,0,0,0,2 Attack,50,Medium Fast,25,Medium Fast,1000000,1,0,0,0,0,0,0,,Mega Scizor,,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,36.4,Pincer,2 stages evolution,Scyther,Trade with  Metal Coat,Scizor,,,,,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.
Scizor (Mega EV),212,Scizor,,2,2.0,125.0,Bug,Steel,Technician,,,Red,50,50,0,25,Bug,,25,210,1000000,Ordinary,Mega,,70,150,140,65,100,75,600,100.0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuckle,213,Shuckle,Tsubotsubo,2,0.6,20.5,Bug,Rock,Sturdy,Gluttony,Contrary,Yellow,50,50,0,20,Bug,,190,177,1058960,Ordinary,,,20,10,230,10,230,5,505,84.2,0,0,1,0,1,0,"1 Defense, 1 Special Defense",50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,56.9,Mold,No evolution,Shuckle,,,,,,,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
Heracross,214,Heracross,Heracros,2,1.5,54.0,Bug,Fighting,Swarm,Guts,Moxie,Blue,50,50,0,25,Bug,,45,175,1250000,Ordinary,,,80,125,75,40,95,85,500,83.3,0,2,0,0,0,0,2 Attack,50,Slow,25,Slow,1250000,1,0,0,0,0,0,0,,Mega Heracross,,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,24,Single Horn,No evolution,Heracross,,,,,,,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.
Heracross (Mega EV),214,Heracross,,2,1.7,62.5,Bug,Fighting,Skill Link,,,Blue,50,50,0,25,Bug,,45,210,1250000,Ordinary,Mega,,80,185,115,40,105,75,600,100.0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneasel,215,Sneasel,Nyula,2,0.9,28.0,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,Black,50,50,0,20,Ground,,60,86,1058960,Ordinary,,,55,95,55,35,75,115,430,71.7,0,0,0,0,0,1,1 Speed,35,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,34.6,Sharp Claw,2 stages evolution,Sneasel,Level up during the night while holding  Razor Claw,Weavile,,,,,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
Teddiursa,216,Teddiursa,Himeguma,2,0.6,8.8,Normal,,Pickup,Quick Feet,Honey Gather,Brown,50,50,0,20,Ground,,120,66,1000000,Ordinary,,,60,80,50,50,50,40,330,55.0,0,1,0,0,0,0,1 Attack,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,24.4,Little Bear,2 stages evolution,Teddiursa,Level ,Ursaring,,,,,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
Ursaring,217,Ursaring,Ringuma,2,1.8,125.8,Normal,,Guts,Quick Feet,Unnerve,Brown,50,50,0,20,Ground,,60,175,1000000,Ordinary,,,90,130,75,75,75,55,500,83.3,0,2,0,0,0,0,2 Attack,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,38.8,Hibernator,2 stages evolution,Teddiursa,Level ,Ursaring,,,,,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day."
Slugma,218,Slugma,Magmag,2,0.7,35.0,Fire,,Magma Armor,Flame Body,Weak Armor,Red,50,50,0,20,Amorphous,,190,50,1000000,Ordinary,,,40,40,40,70,40,20,250,41.7,0,0,0,1,0,0,1 Special Attack,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,71.4,Lava,2 stages evolution,Slugma,Level ,Magcargo,,,,,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size."
Magcargo,219,Magcargo,Magcargot,2,0.8,55.0,Fire,Rock,Magma Armor,Flame Body,Weak Armor,Red,50,50,0,20,Amorphous,,75,151,1000000,Ordinary,,,60,50,120,90,80,30,430,71.7,0,0,2,0,0,0,2 Defense,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,85.9,Lava,2 stages evolution,Slugma,Level ,Magcargo,,,,,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.
Swinub,220,Swinub,Urimoo,2,0.4,6.5,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Brown,50,50,0,20,Ground,,225,50,1250000,Ordinary,,,50,50,40,30,30,50,250,41.7,0,1,0,0,0,0,1 Attack,50,Slow,20,Slow,1250000,0,0,0,0,0,0,0,,,,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,40.6,Pig,3 stages evolution,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,Mamoswine,,,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
Piloswine,221,Piloswine,Inomoo,2,1.1,55.8,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Brown,50,50,0,20,Ground,,75,158,1250000,Ordinary,,,100,100,80,60,60,50,450,75.0,1,1,0,0,0,0,"1 HP, 1 Attack",50,Slow,20,Slow,1250000,0,0,0,0,0,0,0,,,,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,46.1,Swine,3 stages evolution,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,Mamoswine,,,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
Corsola,222,Corsola,Sunnygo,2,0.6,5.0,Water,Rock,Hustle,Natural Cure,Regenerator,Pink,25,75,0,20,Water1,Water3,60,144,800000,Ordinary,,,65,55,95,65,95,35,410,68.3,0,0,1,0,1,0,"1 Defense, 1 Special Defense",50,Fast,20,Fast,800000,1,0,0,0,0,0,0,,,,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,13.9,Coral,No evolution,Corsola,Level 38,Cursola,,,,,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.
Corsola (Galarian),222,Corsola,,8,0.6,0.5,Ghost,,Weak Armor,,Cursed Body,White,25,75,0,20,Water1,Water3,60,144,800000,Ordinary,,Galarian,60,55,100,65,100,30,410,68.3,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remoraid,223,Remoraid,Teppouo,2,0.6,12.0,Water,,Hustle,Sniper,Moody,Gray,50,50,0,20,Water1,Water2,190,60,1000000,Ordinary,,,35,65,35,65,35,65,300,50.0,0,0,0,1,0,0,1 Special Attack,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,33.3,Jet,2 stages evolution,Remoraid,Level ,Octillery,,,,,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
Octillery,224,Octillery,Okutank,2,0.9,28.5,Water,,Suction Cups,Sniper,Moody,Red,50,50,0,20,Water1,Water2,75,168,1000000,Ordinary,,,75,105,75,105,75,45,480,80.0,0,1,0,1,0,0,"1 Attack, 1 Special Attack",50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,35.2,Jet,2 stages evolution,Remoraid,Level ,Octillery,,,,,It has a tendency to want to be in holes. It prefers rock crags or pots and sprays ink from them before attacking.
Delibird,225,Delibird,Delibird,2,0.9,16.0,Ice,Flying,Vital Spirit,Hustle,Insomnia,Red,50,50,0,20,Water1,Ground,45,116,800000,Ordinary,,,45,55,45,65,45,75,330,55.0,0,0,0,0,0,1,1 Speed,50,Fast,20,Fast,800000,1,0,0,0,0,0,0,,,,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,19.8,Delivery,No evolution,Delibird,,,,,,,It carries food all day long. There are tales about lost people who were saved by the food it had.
Mantine,226,Mantine,Mantain,2,2.1,220.0,Water,Flying,Swift Swim,Water Absorb,Water Veil,Purple,50,50,0,25,Water1,,25,170,1250000,Ordinary,,,85,40,70,80,140,70,485,80.8,0,0,0,0,2,0,2 Special Defense,50,Slow,25,Slow,1250000,1,0,0,0,0,0,0,,,,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,49.9,Kite,2 stages evolution,Mantyke,Level up with Remoraid in the party,Mantine,,,,,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet."
Skarmory,227,Skarmory,Airmd,2,1.7,50.5,Steel,Flying,Keen Eye,Sturdy,Weak Armor,Gray,50,50,0,25,Flying,,25,163,1250000,Ordinary,,,65,80,140,40,70,70,465,77.5,0,0,2,0,0,0,2 Defense,50,Slow,25,Slow,1250000,1,0,0,0,0,0,0,,,,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,17.5,Armor Bird,No evolution,Skarmory,,,,,,,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.
Houndour,228,Houndour,Delvil,2,0.6,10.8,Dark,Fire,Early Bird,Flash Fire,Unnerve,Black,50,50,0,20,Ground,,120,66,1250000,Ordinary,,,45,60,30,80,50,65,330,55.0,0,0,0,1,0,0,1 Special Attack,35,Slow,20,Slow,1250000,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,30,Dark,2 stages evolution,Houndour,Level ,Houndoom,,,,,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders."
Houndoom (Mega EV),229,Houndoom,,2,1.9,49.5,Dark,Fire,Solar Power,,,Black,50,50,0,20,Ground,,45,210,1250000,Ordinary,Mega,,75,90,90,140,90,115,600,100.0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houndoom,229,Houndoom,Hellgar,2,1.4,35.0,Dark,Fire,Early Bird,Flash Fire,Unnerve,Black,50,50,0,20,Ground,,45,175,1250000,Ordinary,,,75,90,50,110,80,95,500,83.3,0,0,0,2,0,0,2 Special Attack,35,Slow,20,Slow,1250000,1,0,0,0,0,0,0,,Mega Houndoom,,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,17.9,Dark,2 stages evolution,Houndour,Level ,Houndoom,,,,,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.
Kingdra,230,Kingdra,Kingdra,2,1.8,152.0,Water,Dragon,Swift Swim,Sniper,Damp,Blue,50,50,0,20,Water1,Dragon,45,270,1000000,Ordinary,,,75,95,95,95,95,85,540,90.0,0,1,0,1,1,0,"1 Attack, 1 Special Attack, 1 Special Defense",50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,46.9,Dragon,3 stages evolution,Horsea,Level ,Seadra,Trade with  Dragon Scale,Kingdra,,,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues."
Phanpy,231,Phanpy,Gomazou,2,0.5,33.5,Ground,,Pickup,,Sand Veil,Blue,50,50,0,20,Ground,,120,66,1000000,Ordinary,,,90,60,60,40,40,40,330,55.0,1,0,0,0,0,0,1 HP,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,134,Long Nose,2 stages evolution,Phanpy,Level ,Donphan,,,,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed."
Donphan,232,Donphan,Donfan,2,1.1,120.0,Ground,,Sturdy,,Sand Veil,Gray,50,50,0,20,Ground,,60,175,1000000,Ordinary,,,90,120,120,60,60,50,500,83.3,0,1,1,0,0,0,"1 Attack, 1 Defense",50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,99.2,Armor,2 stages evolution,Phanpy,Level ,Donphan,,,,,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily."
Porygon2,233,Porygon2,Porygon2,2,0.6,32.5,Normal,,Trace,Download,Analytic,Red,0,0,100,20,Mineral,,45,180,1000000,Ordinary,,,85,80,90,105,95,60,515,85.8,0,0,0,2,0,0,2 Special Attack,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,90.3,Virtual,3 stages evolution,Porygon,Trade with  Upgrade,Porygon2,Trade with  Dubious Disc,Porygon-Z,,,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.
Stantler,234,Stantler,Odoshishi,2,1.4,71.2,Normal,,Intimidate,Frisk,Sap Sipper,Brown,50,50,0,20,Ground,,45,163,1250000,Ordinary,,,73,95,62,85,65,85,465,77.5,0,1,0,0,0,0,1 Attack,50,Slow,20,Slow,1250000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,36.3,Big Horn,No evolution,Stantler,,,,,,,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
Smeargle,235,Smeargle,Doble,2,1.2,58.0,Normal,,Own Tempo,Technician,Moody,White,50,50,0,20,Ground,,45,88,800000,Ordinary,,,55,20,35,20,45,75,250,41.7,0,0,0,0,0,1,1 Speed,50,Fast,20,Fast,800000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,40.3,Painter,No evolution,Smeargle,,,,,,,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.
Tyrogue,236,Tyrogue,Balkie,2,0.7,21.0,Fighting,,Guts,Steadfast,Vital Spirit,Purple,100,0,0,25,Undiscovered,,75,42,1000000,Ordinary,,,35,35,35,35,35,35,210,35.0,0,1,0,0,0,0,1 Attack,50,Medium Fast,25,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,42.9,Scuffle,2 stages evolution with 3 forms,Tyrogue,Attack < Defence at Level 20,Hitmonchan,Attack > Defence at Level 20,Hitmonlee,Attack = Defence at Level 20,Hitmontop,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses."
Hitmontop,237,Hitmontop,Kapoerer,2,1.4,48.0,Fighting,,Intimidate,Technician,Steadfast,Brown,100,0,0,25,Human-Like,,45,159,1000000,Ordinary,,,50,95,95,35,110,70,455,75.8,0,0,0,0,2,0,2 Special Defense,50,Medium Fast,25,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,24.5,Handstand,2 stages evolution with 3 forms,Tyrogue,Attack = Defence at Level 20,Hitmontop,,,,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground."
Smoochum,238,Smoochum,Muchul,2,0.4,6.0,Ice,Psychic,Oblivious,Forewarn,Hydration,Pink,0,100,0,25,Undiscovered,,45,61,1000000,Ordinary,,,45,30,15,85,65,65,305,50.8,0,0,0,1,0,0,1 Special Attack,50,Medium Fast,25,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,37.5,Kiss,2 stages evolution,Smoochum,Level ,Jynx,,,,,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care."
Elekid,239,Elekid,Elekid,2,0.6,23.5,Electric,,Static,,Vital Spirit,Yellow,75,25,0,25,Undiscovered,,45,72,1000000,Ordinary,,,45,63,37,65,55,95,360,60.0,0,0,0,0,0,1,1 Speed,50,Medium Fast,25,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,65.3,Electric,3 stages evolution,Elekid,Level ,Electabuzz,Trade with  Electirizer,Electivire,,,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy."
